DATE,M1SL,M2SL
1959-01-01,138.9,286.6
1959-02-01,139.4,287.7
1959-03-01,139.7,289.2
1959-04-01,139.7,290.1
1959-05-01,140.7,292.2
1959-06-01,141.2,294.1
1959-07-01,141.7,295.2
1959-08-01,141.9,296.4
1959-09-01,141.0,296.7
1959-10-01,140.5,296.5
1959-11-01,140.4,297.1
1959-12-01,139.9,297.8
1960-01-01,140.0,298.2
1960-02-01,139.9,298.4
1960-03-01,139.8,299.3
1960-04-01,139.6,300.1
1960-05-01,139.6,300.9
1960-06-01,139.6,302.3
1960-07-01,140.2,304.1
1960-08-01,141.3,306.9
1960-09-01,141.2,308.4
1960-10-01,140.9,309.5
1960-11-01,140.9,310.9
1960-12-01,140.7,312.4
1961-01-01,141.1,314.1
1961-02-01,141.6,316.5
1961-03-01,141.9,318.3
1961-04-01,142.1,319.9
1961-05-01,142.7,322.2
1961-06-01,142.9,324.3
1961-07-01,142.9,325.6
1961-08-01,143.5,327.6
1961-09-01,143.8,329.5
1961-10-01,144.1,331.1
1961-11-01,144.8,333.4
1961-12-01,145.2,335.5
1962-01-01,145.2,337.5
1962-02-01,145.7,340.1
1962-03-01,146.0,343.1
1962-04-01,146.4,345.5
1962-05-01,146.8,347.5
1962-06-01,146.6,349.3
1962-07-01,146.5,350.8
1962-08-01,146.6,352.8
1962-09-01,146.3,354.9
1962-10-01,146.7,357.2
1962-11-01,147.3,359.8
1962-12-01,147.8,362.7
1963-01-01,148.3,365.2
1963-02-01,148.9,367.9
1963-03-01,149.2,370.7
1963-04-01,149.7,373.3
1963-05-01,150.4,376.1
1963-06-01,150.4,378.4
1963-07-01,151.3,381.1
1963-08-01,151.8,383.6
1963-09-01,152.0,386
1963-10-01,152.6,388.3
1963-11-01,153.6,391.5
1963-12-01,153.3,393.2
1964-01-01,153.7,395.2
1964-02-01,154.3,397.6
1964-03-01,154.5,399.8
1964-04-01,154.8,401.7
1964-05-01,155.3,404.2
1964-06-01,155.6,407.1
1964-07-01,156.8,410.1
1964-08-01,157.8,413.4
1964-09-01,158.7,416.9
1964-10-01,159.2,419.1
1964-11-01,160.0,422.0
1964-12-01,160.3,424.7
1965-01-01,160.7,427.5
1965-02-01,160.9,430.4
1965-03-01,161.5,433.2
1965-04-01,162,435.4
1965-05-01,161.7,437.1
1965-06-01,162.2,440.1
1965-07-01,163.0,442.9
1965-08-01,163.7,445.8
1965-09-01,164.8,449.5
1965-10-01,166.0,452.6
1965-11-01,166.7,455.7
1965-12-01,167.8,459.2
1966-01-01,169.1,462
1966-02-01,169.6,464.6
1966-03-01,170.5,467.2
1966-04-01,171.8,469.3
1966-05-01,171.3,470.1
1966-06-01,171.6,471.2
1966-07-01,170.3,470.9
1966-08-01,170.8,472.6
1966-09-01,172.0,475.4
1966-10-01,171.2,475.7
1966-11-01,171.4,477.3
1966-12-01,172,480.2
1967-01-01,171.9,481.6
1967-02-01,173.0,485.1
1967-03-01,174.8,489.7
1967-04-01,174.2,492.1
1967-05-01,175.7,497.2
1967-06-01,177,502
1967-07-01,178.1,506.3
1967-08-01,179.7,510.8
1967-09-01,180.7,514.7
1967-10-01,181.6,518.2
1967-11-01,182.4,521.2
1967-12-01,183.3,524.8
1968-01-01,184.3,527.4
1968-02-01,184.7,530.4
1968-03-01,185.5,533.2
1968-04-01,186.6,535.7
1968-05-01,188,538.9
1968-06-01,189.4,542.6
1968-07-01,190.5,545.6
1968-08-01,191.8,549.4
1968-09-01,192.7,553.6
1968-10-01,194,557.6
1968-11-01,196,562.4
1968-12-01,197.4,566.8
1969-01-01,198.7,569.3
1969-02-01,199.3,571.9
1969-03-01,200,574.4
1969-04-01,200.7,575.7
1969-05-01,200.8,576.5
1969-06-01,201.3,578.5
1969-07-01,201.7,579.5
1969-08-01,201.7,580.1
1969-09-01,202.1,582.1
1969-10-01,202.9,583.4
1969-11-01,203.6,585.4
1969-12-01,203.9,587.9
1970-01-01,206.2,589.6
1970-02-01,205.0,586.3
1970-03-01,205.7,587.3
1970-04-01,206.7,588.4
1970-05-01,207.2,591.5
1970-06-01,207.6,595.2
1970-07-01,208.0,599.1
1970-08-01,209.9,604.9
1970-09-01,211.8,611.2
1970-10-01,212.9,616.4
1970-11-01,213.7,621.1
1970-12-01,214.4,626.5
1971-01-01,215.5,632.9
1971-02-01,217.4,641.0
1971-03-01,218.8,649.9
1971-04-01,220.0,658.4
1971-05-01,222.0,666.7
1971-06-01,223.5,673.0
1971-07-01,224.9,679.6
1971-08-01,225.6,685.5
1971-09-01,226.5,692.5
1971-10-01,227.2,698.4
1971-11-01,227.8,704.6
1971-12-01,228.3,710.3
1972-01-01,230.1,717.7
1972-02-01,232.3,725.7
1972-03-01,234.3,733.5
1972-04-01,235.6,738.4
1972-05-01,235.9,743.3
1972-06-01,236.6,749.7
1972-07-01,238.8,759.5
1972-08-01,240.9,768.7
1972-09-01,243.2,778.3
1972-10-01,245,786.9
1972-11-01,246.4,793.9
1972-12-01,249.2,802.3
1973-01-01,251.5,810.3
1973-02-01,252.2,814.1
1973-03-01,251.7,815.3
1973-04-01,252.7,819.7
1973-05-01,254.9,826.8
