DATE,PCEPI_NBD19820101
1959-01-01,34.57924
1959-02-01,34.61157
1959-03-01,34.63528
1959-04-01,34.70426
1959-05-01,34.72366
1959-06-01,34.82281
1959-07-01,34.89610
1959-08-01,34.94568
1959-09-01,35.03837
1959-10-01,35.12243
1959-11-01,35.14399
1959-12-01,35.18495
1960-01-01,35.16555
1960-02-01,35.20219
1960-03-01,35.22159
1960-04-01,35.35092
1960-05-01,35.38757
1960-06-01,35.40266
1960-07-01,35.46517
1960-08-01,35.52552
1960-09-01,35.54708
1960-10-01,35.58803
1960-11-01,35.70659
1960-12-01,35.71521
1961-01-01,35.71952
1961-02-01,35.75401
1961-03-01,35.73461
1961-04-01,35.71305
1961-05-01,35.73245
1961-06-01,35.74970
1961-07-01,35.82730
1961-08-01,35.85748
1961-09-01,35.89843
1961-10-01,35.89412
1961-11-01,35.89628
1961-12-01,35.90705
1962-01-01,35.97387
1962-02-01,36.07087
1962-03-01,36.11830
1962-04-01,36.15925
1962-05-01,36.18296
1962-06-01,36.20452
1962-07-01,36.18512
1962-08-01,36.23685
1962-09-01,36.41576
1962-10-01,36.37696
1962-11-01,36.40498
1962-12-01,36.38989
1963-01-01,36.47827
1963-02-01,36.51707
1963-03-01,36.48905
1963-04-01,36.48689
1963-05-01,36.54509
1963-06-01,36.62485
1963-07-01,36.69814
1963-08-01,36.74772
1963-09-01,36.73909
1963-10-01,36.81238
1963-11-01,36.86411
1963-12-01,36.91800
1964-01-01,36.99560
1964-02-01,37.04949
1964-03-01,37.07105
1964-04-01,37.09907
1964-05-01,37.10338
1964-06-01,37.15511
1964-07-01,37.20253
1964-08-01,37.23271
1964-09-01,37.28876
1964-10-01,37.31247
1964-11-01,37.36420
1964-12-01,37.41809
1965-01-01,37.45904
1965-02-01,37.47413
1965-03-01,37.52371
1965-04-01,37.58191
1965-05-01,37.66598
1965-06-01,37.77591
1965-07-01,37.80393
1965-08-01,37.81255
1965-09-01,37.82980
1965-10-01,37.84273
1965-11-01,37.90524
1965-12-01,38.04320
1966-01-01,38.08846
1966-02-01,38.24582
1966-03-01,38.33851
1966-04-01,38.47215
1966-05-01,38.51957
1966-06-01,38.61657
1966-07-01,38.68986
1966-08-01,38.83859
1966-09-01,38.96146
1966-10-01,39.06492
1966-11-01,39.12312
1966-12-01,39.20288
1967-01-01,39.20504
1967-02-01,39.25030
1967-03-01,39.27401
1967-04-01,39.33652
1967-05-01,39.41412
1967-06-01,39.53914
1967-07-01,39.67279
1967-08-01,39.79781
1967-09-01,39.91852
1967-10-01,40.02845
1967-11-01,40.16210
1967-12-01,40.22461
1968-01-01,40.41214
1968-02-01,40.57596
1968-03-01,40.70961
1968-04-01,40.83678
1968-05-01,40.98767
1968-06-01,41.11700
1968-07-01,41.24418
1968-08-01,41.41231
1968-09-01,41.55673
1968-10-01,41.73996
