DATE,PPIACO_NBD19820101,CPIAUCSL_NBD19820101,PCE_NBD19820101,M1,M2
1913-01-01,12.13641,.,.,.,.
1913-02-01,12.03611,.,.,.,.
1913-03-01,12.03611,.,.,.,.
1913-04-01,12.03611,.,.,.,.
1913-05-01,11.93581,.,.,.,.
1913-06-01,11.93581,.,.,.,.
1913-07-01,12.03611,.,.,.,.
1913-08-01,12.03611,.,.,.,.
1913-09-01,12.23671,.,.,.,.
1913-10-01,12.23671,.,.,.,.
1913-11-01,12.13641,.,.,.,.
1913-12-01,11.93581,.,.,.,.
1914-01-01,11.83551,.,.,.,.
1914-02-01,11.83551,.,.,.,.
1914-03-01,11.73521,.,.,.,.
1914-04-01,11.73521,.,.,.,.
1914-05-01,11.63490,.,.,.,.
1914-06-01,11.63490,.,.,.,.
1914-07-01,11.63490,.,.,.,.
1914-08-01,12.03611,.,.,.,.
1914-09-01,12.13641,.,.,.,.
1914-10-01,11.73521,.,.,.,.
1914-11-01,11.73521,.,.,.,.
1914-12-01,11.63490,.,.,.,.
1915-01-01,11.83551,.,.,.,.
1915-02-01,11.83551,.,.,.,.
1915-03-01,11.83551,.,.,.,.
1915-04-01,11.83551,.,.,.,.
1915-05-01,11.93581,.,.,.,.
1915-06-01,11.83551,.,.,.,.
1915-07-01,11.93581,.,.,.,.
1915-08-01,11.83551,.,.,.,.
1915-09-01,11.83551,.,.,.,.
1915-10-01,12.13641,.,.,.,.
1915-11-01,12.33701,.,.,.,.
1915-12-01,12.83852,.,.,.,.
1916-01-01,13.34002,.,.,.,.
1916-02-01,13.54062,.,.,.,.
1916-03-01,13.94183,.,.,.,.
1916-04-01,14.14243,.,.,.,.
1916-05-01,14.24273,.,.,.,.
1916-06-01,14.34303,.,.,.,.
1916-07-01,14.44333,.,.,.,.
1916-08-01,14.74423,.,.,.,.
1916-09-01,15.04514,.,.,.,.
1916-10-01,15.74724,.,.,.,.
1916-11-01,16.85055,.,.,.,.
1916-12-01,17.15145,.,.,.,.
1917-01-01,17.65296,.,.,.,.
1917-02-01,18.05416,.,.,.,.
1917-03-01,18.55567,.,.,.,.
1917-04-01,19.75928,.,.,.,.
1917-05-01,20.86259,.,.,.,.
1917-06-01,21.06319,.,.,.,.
1917-07-01,21.26379,.,.,.,.
1917-08-01,21.56469,.,.,.,.
1917-09-01,21.36409,.,.,.,.
1917-10-01,21.16349,.,.,.,.
1917-11-01,21.26379,.,.,.,.
1917-12-01,21.26379,.,.,.,.
1918-01-01,21.66499,.,.,.,.
1918-02-01,21.16349,.,.,.,.
1918-03-01,21.86560,.,.,.,.
1918-04-01,22.16650,.,.,.,.
1918-05-01,22.16650,.,.,.,.
1918-06-01,22.26680,.,.,.,.
1918-07-01,22.76830,.,.,.,.
1918-08-01,23.26981,.,.,.,.
1918-09-01,23.77131,.,.,.,.
1918-10-01,23.57071,.,.,.,.
1918-11-01,23.57071,.,.,.,.
1918-12-01,23.57071,.,.,.,.
1919-01-01,23.26981,.,.,.,.
1919-02-01,22.46740,.,.,.,.
1919-03-01,22.66800,.,.,.,.
1919-04-01,22.96891,.,.,.,.
1919-05-01,23.37011,.,.,.,.
1919-06-01,23.47041,.,.,.,.
1919-07-01,24.37312,.,.,.,.
1919-08-01,24.97492,.,.,.,.
1919-09-01,24.37312,.,.,.,.
1919-10-01,24.47342,.,.,.,.
1919-11-01,24.97492,.,.,.,.
1919-12-01,26.07823,.,.,.,.
1920-01-01,27.28185,.,.,.,.
1920-02-01,27.18154,.,.,.,.
1920-03-01,27.38215,.,.,.,.
1920-04-01,28.58576,.,.,.,.
1920-05-01,28.88666,.,.,.,.
1920-06-01,28.78636,.,.,.,.
1920-07-01,28.68606,.,.,.,.
1920-08-01,27.88365,.,.,.,.
1920-09-01,26.88064,.,.,.,.
1920-10-01,24.97492,.,.,.,.
1920-11-01,23.06921,.,.,.,.
1920-12-01,20.86259,.,.,.,.
1921-01-01,19.65898,.,.,.,.
1921-02-01,18.15446,.,.,.,.
1921-03-01,17.75326,.,.,.,.
1921-04-01,17.05115,.,.,.,.
1921-05-01,16.64995,.,.,.,.
1921-06-01,16.14845,.,.,.,.
1921-07-01,16.14845,.,.,.,.
1921-08-01,16.14845,.,.,.,.
1921-09-01,16.14845,.,.,.,.
1921-10-01,16.24875,.,.,.,.
1921-11-01,16.24875,.,.,.,.
1921-12-01,16.04814,.,.,.,.
1922-01-01,15.74724,.,.,.,.
1922-02-01,16.04814,.,.,.,.
1922-03-01,16.04814,.,.,.,.
1922-04-01,16.14845,.,.,.,.
1922-05-01,16.64995,.,.,.,.
1922-06-01,16.64995,.,.,.,.
1922-07-01,17.15145,.,.,.,.
1922-08-01,17.05115,.,.,.,.
1922-09-01,17.15145,.,.,.,.
1922-10-01,17.25176,.,.,.,.
1922-11-01,17.35206,.,.,.,.
1922-12-01,17.35206,.,.,.,.
1923-01-01,17.65296,.,.,.,.
1923-02-01,17.85356,.,.,.,.
1923-03-01,18.05416,.,.,.,.
1923-04-01,17.95386,.,.,.,.
1923-05-01,17.55266,.,.,.,.
1923-06-01,17.35206,.,.,.,.
1923-07-01,17.05115,.,.,.,.
1923-08-01,16.95085,.,.,.,.
1923-09-01,17.25176,.,.,.,.
1923-10-01,17.15145,.,.,.,.
1923-11-01,17.05115,.,.,.,.
1923-12-01,16.95085,.,.,.,.
